condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,metric,reduction_percent,ci95_low,ci95_high,paired_replicates
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_canonical,final,42.01447791472914,40.04158418779221,44.2586853177513,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_noncanonical,auc,9.395396362130004,8.18842023120091,10.616431713120264,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,Phenotype_noncanonical,final,9.347654707600395,8.240513594790425,10.659791285100994,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TAK1_TAB,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TAK1_TAB,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFR,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFR,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFa,auc,47.58767420493496,45.73015815354846,49.530038722018894,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TNFa,final,47.56140437097809,45.773417554229965,49.500992065982366,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_3,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_3,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_5,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF2_5,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF6,auc,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,TRAF6,final,0.0,0.0,0.0,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100,auc,52.61834096212561,50.600500602361414,54.71194127880154,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100,final,52.78364696154733,50.8620484086502,54.91561582139149,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100_RelB,auc,14.412442296159544,12.940107964868341,15.926851062303319,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p100_RelB,final,14.621796598242852,13.127896638227082,16.16156769084539,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p50_p65,auc,59.93928125993111,58.30369472181923,61.59381205464821,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p50_p65,final,60.21473945983053,58.53980586173067,61.94112164541445,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p52,auc,13.401085341807995,11.736433700147233,15.203813258009145,200
alpha_0p50,alpha,0.5,0.5,1.0,1.0,0.75,100.0,p52,final,13.595099331767669,11.780090484734496,15.493804339062136,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFF,auc,6.399469263314462,5.585744835697787,7.319187290843074,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFF,final,6.394086530771137,5.581567599493924,7.294689598637741,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFFR,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,BAFFR,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Btx,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Btx,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,CD40,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,CD40,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IKKa_noncanonical,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IKKa_noncanonical,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IL1R,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IL1R,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IkBa_release_signal,auc,33.896849922981545,31.595550195533963,36.02698772180153,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,IkBa_release_signal,final,34.03757256729186,31.825943499746174,36.24874858748226,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,LTB,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,LTB,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,auc,17.59470563401959,16.016724934574217,19.08890050368907,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,final,17.675844326072575,16.120184886668547,19.314618818647396,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,NIK,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,NIK,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Phenotype_canonical,auc,24.115187262424577,22.27226076877291,26.0702285318004,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Phenotype_canonical,final,23.344115934807487,21.560620047901963,25.29508861881844,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Phenotype_noncanonical,auc,4.126212227643034,3.505411063357869,4.870534243875777,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,Phenotype_noncanonical,final,4.009793834224739,3.3494495426710182,4.72974585751788,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TAK1_TAB,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TAK1_TAB,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TNFR,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TNFR,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TNFa,auc,30.624773902781456,28.740349199852805,32.50752137054846,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TNFa,final,30.460481642124403,28.613913356407256,32.5881767647722,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TRAF2_3,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TRAF2_3,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TRAF2_5,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TRAF2_5,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TRAF6,auc,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,TRAF6,final,0.0,0.0,0.0,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p100,auc,40.01295240190601,37.804461268986074,42.4500281880017,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p100,final,40.09326409251113,37.71980283190583,42.38225251845925,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p100_RelB,auc,12.517257674068304,11.40434771200497,13.702752020961862,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p100_RelB,final,12.63775748699384,11.499147055037938,13.962464989334151,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p50_p65,auc,52.43132689430156,50.86289382744536,53.97558934777989,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p50_p65,final,52.64026122675807,51.08620942469685,54.290377626550374,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p52,auc,9.29264594977387,8.191102416780012,10.519050900071258,200
alpha_0p75,alpha,0.75,0.75,1.0,1.0,0.75,100.0,p52,final,9.359205888291877,8.22578106837737,10.667962477201469,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,BAFF,auc,1.5806161210808911,1.2507292715830856,1.941022651036393,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,BAFF,final,1.5526533087289018,1.2320706156036643,1.916020167417705,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,BAFFR,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,BAFFR,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,Btx,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,Btx,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,CD40,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,CD40,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,IKKa_noncanonical,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,IKKa_noncanonical,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,IL1R,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,IL1R,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,IkBa_release_signal,auc,24.596992276829965,22.983966733659706,26.23193010886873,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,IkBa_release_signal,final,24.686338499601078,23.07023464222347,26.362014929137835,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,LTB,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,LTB,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,auc,11.856847325865939,10.9141664245511,12.776942274884636,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,final,11.887685203843546,10.9398957160698,12.819475044920798,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,NIK,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,NIK,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,Phenotype_canonical,auc,9.151663510533403,7.9490980640500375,10.391859083511195,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,Phenotype_canonical,final,8.766436282971501,7.6288840724847695,9.977757983678906,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,Phenotype_noncanonical,auc,0.64857848879325,0.4866763479171535,0.8492814036680295,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,Phenotype_noncanonical,final,0.6092676413666176,0.44423169512183946,0.7976487824749603,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TAK1_TAB,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TAK1_TAB,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TNFR,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TNFR,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TNFa,auc,14.220026239003847,12.761864249444667,15.83477082812133,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TNFa,final,14.105457279451949,12.610804234540435,15.6764846243185,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TRAF2_3,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TRAF2_3,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TRAF2_5,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TRAF2_5,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TRAF6,auc,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,TRAF6,final,0.0,0.0,0.0,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p100,auc,23.63318719858335,21.808464133556214,25.61289174915373,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p100,final,23.671838938196853,21.77912904352147,25.82199547781048,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p100_RelB,auc,5.85137977960597,5.1553165927625,6.526030894276335,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p100_RelB,final,5.87617087700294,5.193055704512573,6.619003423550491,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p50_p65,auc,40.04975254479386,38.57190087260554,41.517065302757786,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p50_p65,final,40.16911931685803,38.648338063545815,41.564178788830546,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p52,auc,3.122388308063262,2.6349116937605306,3.707836735274775,200
alpha_1p25,alpha,1.25,1.25,1.0,1.0,0.75,100.0,p52,final,3.1191838184755127,2.6204824909491005,3.692115508698914,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,BAFF,auc,0.900049850237461,0.6867391485718033,1.1539129710725495,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,BAFF,final,0.8765999313376627,0.6636246536531976,1.1341115289494115,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,BAFFR,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,BAFFR,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,Btx,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,Btx,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,CD40,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,CD40,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,IKKa_noncanonical,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,IKKa_noncanonical,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,IL1R,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,IL1R,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,IkBa_release_signal,auc,21.5959781317424,20.18254986592915,23.116770260607076,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,IkBa_release_signal,final,21.669165307285652,20.21673001962208,23.174262172504502,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,LTB,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,LTB,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,auc,10.178704987455433,9.413784347857495,10.937801439252476,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,NEMO_IKKa_IKKb,final,10.200016325012019,9.417798133161762,10.981076252608899,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,NIK,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,NIK,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,Phenotype_canonical,auc,6.389666233045754,5.4172309167914605,7.434855089264677,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,Phenotype_canonical,final,6.128894610225776,5.159713137099976,7.13401543133482,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,Phenotype_noncanonical,auc,0.304407060503431,0.21914412762708446,0.4076730330585629,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,Phenotype_noncanonical,final,0.27981137824747426,0.1979694280828581,0.37345092446997047,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TAK1_TAB,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TAK1_TAB,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TNFR,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TNFR,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TNFa,auc,10.64256969521724,9.306481126399946,12.14708233798721,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TNFa,final,10.553051424959936,9.142336562505436,12.057766395769397,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TRAF2_3,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TRAF2_3,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TRAF2_5,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TRAF2_5,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TRAF6,auc,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,TRAF6,final,0.0,0.0,0.0,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,p100,auc,18.89070585760779,17.238755776485036,20.57701760998686,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,p100,final,18.91696901780491,17.261982552762305,20.63432265121836,200
alpha_1p50,alpha,1.5,1.5,1.0,1.0,0.75,100.0,p100_RelB,auc,4.112908232927759,3.555936270863874,4.728358695783806,200
