condition_id,family,level,dose,node,metric,value,baseline_value,relative_change_percent
alpha_0p50,alpha,0.5,0.0,NIK,final_mean,0.233652124025,0.405432408025,-42.36964796100059
alpha_0p50,alpha,0.5,0.0,NIK,final_cv,0.6255777932352291,0.4611943646466652,35.64298291339769
alpha_0p50,alpha,0.5,0.0,NIK,auc_mean,115.66847695,201.39707196249998,-42.56695203019763
alpha_0p50,alpha,0.5,0.0,NIK,auc_cv,0.6241113232029039,0.46139699952031393,35.26557906786434
alpha_0p50,alpha,0.5,0.0,IKKa_noncanonical,final_mean,0.1283678493925,0.308058851475,-58.3300889496053
alpha_0p50,alpha,0.5,0.0,IKKa_noncanonical,final_cv,0.7764640013217381,0.5533634273191441,40.31718812416638
alpha_0p50,alpha,0.5,0.0,IKKa_noncanonical,auc_mean,63.138098141250005,152.427095275,-58.57816615389806
alpha_0p50,alpha,0.5,0.0,IKKa_noncanonical,auc_cv,0.7728351401086558,0.5533716766847852,39.659323501821135
alpha_0p50,alpha,0.5,0.0,p100_RelB,final_mean,0.102058989105,0.3793751871125,-73.0981380512017
alpha_0p50,alpha,0.5,0.0,p100_RelB,final_cv,0.6168084311068798,0.3517098654598227,75.37421940111612
alpha_0p50,alpha,0.5,0.0,p100_RelB,auc_mean,49.746766632500005,186.72962554999998,-73.35893193917455
alpha_0p50,alpha,0.5,0.0,p100_RelB,auc_cv,0.6148005733287195,0.3526241530516158,74.35010279591576
alpha_0p50,alpha,0.5,0.0,p52,final_mean,0.07223207496,0.3062981677875,-76.41772542037786
alpha_0p50,alpha,0.5,0.0,p52,final_cv,0.9842774126697028,0.5726196517273229,71.89026078665009
alpha_0p50,alpha,0.5,0.0,p52,auc_mean,34.867642047500006,150.11127485,-76.77213648185868
alpha_0p50,alpha,0.5,0.0,p52,auc_cv,0.9819032762502256,0.572690320866033,71.45449127992474
alpha_0p50,alpha,0.5,0.0,BAFF,final_mean,0.2566154131375,0.6632187320125,-61.30757459777787
alpha_0p50,alpha,0.5,0.0,BAFF,final_cv,0.5472948619673365,0.29052902409046305,88.37872177511714
