condition_id,family,level,alpha_scale,beta_scale,sigma_scale,r,dose,node,final_mean,final_sd,final_se,final_cv,auc_mean,auc_sd,auc_se,auc_cv
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,Phenotype_canonical,0.793624363975,0.1873921298498586,0.013250624575782506,0.23612194680021395,383.05735968749997,94.5386271734192,6.6848904358391525,0.24680018483535798
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,NIK,0.4801995387875,0.19492470188979366,0.013783257852703934,0.4059243838133976,238.4286924625,96.90109444865534,6.851942098904231,0.4064154085142077
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,IKKa_noncanonical,0.3960690676,0.18831456764560325,0.013315850777841887,0.475458911211382,195.80150202500002,93.26090628273087,6.5945419252122095,0.4763033241227296
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,p100_RelB,0.48006201750000005,0.1427476114894632,0.010093780408238214,0.2973524384054466,236.23917600000001,70.6287321720686,4.994205546547818,0.2989712941263755
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,p52,0.4029633532125,0.19275281152600549,0.013629682012281099,0.4783383153563312,197.477071825,94.61199486283627,6.690078314909832,0.4791036953731997
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,BAFF,0.7491600111,0.18362933404275494,0.012984554732640177,0.24511363570131026,364.9391155125,92.08091929450465,6.511104245103544,0.2523185796764794
beta_0p75,beta,0.75,1.0,0.75,1.0,0.75,100.0,Phenotype_noncanonical,0.8460993465875001,0.14739161940214185,0.01042216135693212,0.174201315716179,408.4947005125,76.7812103071431,5.429251447589132,0.1879613375909477
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,TNFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,IL1R,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,CD40,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,LTB,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,BAFFR,1.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,TRAF2_5,0.40770093160000004,0.19482720014465915,0.013776363438187719,0.47786792975937153,203.22876250000002,96.99912635336624,6.858874001363601,0.47729034591433006
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,TRAF6,0.5553705819125,0.14644468796029786,0.010355203192547456,0.26368823400042923,276.9882913125,72.89484125866903,5.154443656752179,0.26316939576492276
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,TRAF2_3,0.605264414125,0.09053157997887055,0.006401549411459165,0.14957360430605765,301.9902445125,45.11653153981499,3.190220539541993,0.1493973145147327
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,Btx,0.3684961560125,0.16992148867630497,0.012015263691232838,0.4611214687149706,183.10695545,84.34048643432808,5.96377298862854,0.46060777007107456
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,TAK1_TAB,0.4158189169875,0.1473129008576373,0.01041659511526969,0.35427176311477354,206.8425386,73.14643367166308,5.1722339268844975,0.35363341683364485
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,NEMO_IKKa_IKKb,0.387248011175,0.1464612845684377,0.010356376749963495,0.3782105532938447,192.0991789,72.49195433561677,5.125955249218016,0.3773673305150018
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,IkBa_release_signal,0.25553545295,0.12488319367160743,0.008830575310142655,0.4887118097700635,126.50914641874999,61.925816614357565,4.37881648585268,0.48949675471985876
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,p50_p65,0.21495609323749998,0.10313822892707224,0.007292974107390331,0.47981067842127745,105.901518505,50.818772093448274,3.5934298358850953,0.47986820973722805
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,TNFa,0.510667614225,0.20567702015350525,0.014543561568478577,0.4027610414763526,248.792587775,101.20461784970857,7.156247156892204,0.4067830909063688
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,p100,0.181798255625,0.14141409707989752,0.009999486700056829,0.7778627830819019,89.31313723625,69.44496187364696,4.910500346009702,0.7775447601840703
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,Phenotype_canonical,0.7021490840749999,0.1829869447366291,0.012939130949187845,0.2606098176111605,339.1408897625,91.36825064677765,6.460710961748863,0.2694108950140537
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,NIK,0.3475756952125,0.17709974646220242,0.01252284316698416,0.5095285686012297,172.72000305,88.00864957373403,6.223151291665789,0.5095452062275426
beta_1p25,beta,1.25,1.0,1.25,1.0,0.75,0.0,IKKa_noncanonical,0.2431101658375,0.15099214473810255,0.010676756945021298,0.6210852771949853,120.37459422124999,74.6823144606052,5.280837098980009,0.6204159186891063
