input,time,model,node,mean,sd,cv
0.01,4.4,moment_ode,2,0.00925617396573,0.00639457567785,0.690844370636
0.01,4.5,bounded_mc,1,0.00965916531238,0.00507793933717,0.525712023032
0.01,4.5,linear_mc,1,0.00965506494898,0.00517029867328,0.535501180013
0.01,4.5,moment_ode,1,0.0097958398741,0.00544785805462,0.55613996601
0.01,4.5,bounded_mc,2,0.00916486287709,0.0059230018324,0.6462728261
0.01,4.5,linear_mc,2,0.00924739430436,0.00613510338493,0.663441309303
0.01,4.5,moment_ode,2,0.00930701605211,0.00645628270166,0.693700608822
0.01,4.6,bounded_mc,1,0.00970721990181,0.00511311704638,0.526733410605
0.01,4.6,linear_mc,1,0.00970361330994,0.005209452642,0.536856990855
0.01,4.6,moment_ode,1,0.0098059413373,0.00546197619597,0.557006819447
0.01,4.6,bounded_mc,2,0.00921573232316,0.00605580300607,0.657115766139
0.01,4.6,linear_mc,2,0.00930079271076,0.00628761743544,0.676030273008
0.01,4.6,moment_ode,2,0.00935403052584,0.00651395461604,0.696379448201
0.01,4.7,bounded_mc,1,0.00975120625278,0.00523551908325,0.536909890687
0.01,4.7,linear_mc,1,0.00974905094724,0.0053453123923,0.548290538353
0.01,4.7,moment_ode,1,0.00981507238356,0.00547484330202,0.557799584972
0.01,4.7,bounded_mc,2,0.0092789105732,0.00621117808322,0.669386565828
0.01,4.7,linear_mc,2,0.00936685256581,0.00646349567108,0.690039223493
0.01,4.7,moment_ode,2,0.00939748454219,0.00656780735571,0.698889934453
0.01,4.8,bounded_mc,1,0.00981620983536,0.00525409908938,0.535247226527
0.01,4.8,linear_mc,1,0.00981438014676,0.00535490111681,0.545617862436
0.01,4.8,moment_ode,1,0.00982332623791,0.00548656594721,0.558524252818
0.01,4.8,bounded_mc,2,0.00930571124117,0.00619134534861,0.665327473436
0.01,4.8,linear_mc,2,0.00939382567114,0.00643582724603,0.685112484661
0.01,4.8,moment_ode,2,0.00943762916041,0.00661805074662,0.701240813147
0.01,4.9,bounded_mc,1,0.0098494611664,0.00529715484798,0.537811638473
0.01,4.9,linear_mc,1,0.00984810172589,0.00540006823564,0.548335952039
0.01,4.9,moment_ode,1,0.0098307871695,0.00549724218623,0.559186369459
0.01,4.9,bounded_mc,2,0.00934703632558,0.00629637596713,0.673622712891
0.01,4.9,linear_mc,2,0.00943743190314,0.0065556352268,0.694641857455
0.01,4.9,moment_ode,2,0.00947469997944,0.00666488796343,0.703440528765
0.01,5,bounded_mc,1,0.00980974024077,0.00523433483039,0.533585467293
0.01,5,linear_mc,1,0.009807206499,0.00532870958715,0.543346322696
0.01,5,moment_ode,1,0.00983753135202,0.00550696216161,0.559791065925
0.01,5,bounded_mc,2,0.00935372498919,0.00621957628961,0.664930420425
0.01,5,linear_mc,2,0.00944306429656,0.00646123034043,0.684230260169
0.01,5,moment_ode,2,0.00950891779919,0.00670851511206,0.705497224156
0.01,5.1,bounded_mc,1,0.00981300053377,0.0051690310214,0.526753361891
0.01,5.1,linear_mc,1,0.00980964685376,0.00526125066009,0.536334359282
0.01,5.1,moment_ode,1,0.00984362764138,0.00551580867801,0.560343084782
0.01,5.1,bounded_mc,2,0.00937670547763,0.00628563172936,0.670345436823
0.01,5.1,linear_mc,2,0.00946734655943,0.00654567509768,0.691394896827
0.01,5.1,moment_ode,2,0.00954048929671,0.00674912092238,0.707418740536
0.01,5.2,bounded_mc,1,0.00983017270056,0.00510622519548,0.519444098392
0.01,5.2,linear_mc,1,0.00982609493542,0.00519501492415,0.528695779788
0.01,5.2,moment_ode,1,0.00984913827871,0.00552385774345,0.560846805795
0.01,5.2,bounded_mc,2,0.00940328628098,0.0062333531274,0.66289092357
0.01,5.2,linear_mc,2,0.00949353683573,0.00649076142457,0.683703190589
0.01,5.2,moment_ode,2,0.00956960770837,0.00678688653715,0.709212618111
0.01,5.3,bounded_mc,1,0.0098596355698,0.00513168120493,0.52047372021
0.01,5.3,linear_mc,1,0.00985586134309,0.00522517192328,0.530158830506
0.01,5.3,moment_ode,1,0.00985411952582,0.00553117907811,0.561306270297
0.01,5.3,bounded_mc,2,0.00945718156776,0.00621726388588,0.657411919327
0.01,5.3,linear_mc,2,0.00954774260133,0.00646325399578,0.676940536172
0.01,5.3,moment_ode,2,0.00959645351066,0.00682198538499,0.710886097392
0.01,5.4,bounded_mc,1,0.00991257784388,0.00537091952577,0.541828736214
0.01,5.4,linear_mc,1,0.00991184878442,0.00550577380413,0.555473950812
0.01,5.4,moment_ode,1,0.00985862223964,0.00553783659167,0.561725204299
0.01,5.4,bounded_mc,2,0.00950032785421,0.00632807823425,0.666090510913
0.01,5.4,linear_mc,2,0.00959345661662,0.00660728268054,0.688728051273
0.01,5.4,moment_ode,2,0.00962119509367,0.00685458312594,0.712446121215
0.01,5.5,bounded_mc,1,0.0099215372436,0.00538024750077,0.542279625493
0.01,5.5,linear_mc,1,0.00992077038711,0.00550420775766,0.554816565941
0.01,5.5,moment_ode,1,0.00986269239139,0.00554388883006,0.562107040356
0.01,5.5,bounded_mc,2,0.00959379126763,0.00653316475764,0.680978413579
0.01,5.5,linear_mc,2,0.00969188875711,0.00686987333914,0.708827093594
0.01,5.5,moment_ode,2,0.00964398942251,0.00688483765958,0.713899337499
0.01,5.6,bounded_mc,1,0.00994850880413,0.00549370016539,0.552213429526
0.01,5.6,linear_mc,1,0.00994915597203,0.00563406955042,0.56628618209
0.01,5.6,moment_ode,1,0.00986637153601,0.0055493893929,0.562454938236
0.01,5.6,bounded_mc,2,0.00958462659019,0.00652780023945,0.681069854733
0.01,5.6,linear_mc,2,0.00968302026005,0.00685865177902,0.708317404572
0.01,5.6,moment_ode,2,0.00966498268265,0.00691289918646,0.715252102714
0.01,5.7,bounded_mc,1,0.00992352356,0.00556649928077,0.560939795942
0.01,5.7,linear_mc,1,0.00992499178628,0.00572788764022,0.577117620202
0.01,5.7,moment_ode,1,0.00986969723636,0.00555438732275,0.562771804416
0.01,5.7,bounded_mc,2,0.00955522479545,0.00647064375186,0.677183832968
0.01,5.7,linear_mc,2,0.00965242241929,0.00676898878422,0.701273575708
0.01,5.7,moment_ode,2,0.00968431090632,0.00693891031464,0.716510486059
0.01,5.8,bounded_mc,1,0.00990147439234,0.00551823006724,0.557313976543
0.01,5.8,linear_mc,1,0.00990227913116,0.00566114845026,0.571701562365
0.01,5.8,moment_ode,1,0.00987270344677,0.00555892746758,0.563060310436
0.01,5.8,bounded_mc,2,0.00957642574196,0.00636370562006,0.664517826539
0.01,5.8,linear_mc,2,0.00967244471865,0.00664220207445,0.686713883372
0.01,5.8,moment_ode,2,0.00970210057773,0.00696300620397,0.717680274306
0.01,5.9,bounded_mc,1,0.00989549454657,0.00541216200006,0.546931937013
0.01,5.9,linear_mc,1,0.00989499184203,0.00554147546582,0.560028300607
0.01,5.9,moment_ode,1,0.00987542085966,0.00556305081769,0.563322910157
0.01,5.9,bounded_mc,2,0.00961344968119,0.00645031632715,0.670967919015
