dt,finest_dt,node,final_mean,final_sd,final_cv,auc_mean,auc_sd,final_mean_abs_difference_vs_finest,final_mean_relative_difference_vs_finest,final_pathwise_rmse_vs_finest,auc_mean_abs_difference_vs_finest,auc_mean_relative_difference_vs_finest,auc_pathwise_rmse_vs_finest,final_cv_abs_difference_vs_finest
0.0005,0.0005,TRAF6,0.594936788691,0.137890906027,0.231774044988,11.1484662606,2.49328314431,0,0,0,0,0,0,0
0.0005,0.0005,TRAF2_3,0.656207045297,0.0913282300878,0.139175936531,12.3415068999,1.69008054787,0,0,0,0,0,0,0
0.0005,0.0005,Btx,0.400532035008,0.19908078059,0.497040843652,6.79656677057,3.37919492389,0,0,0,0,0,0,0
0.0005,0.0005,TAK1_TAB,0.497074419193,0.118047963831,0.237485493666,8.66829227333,1.99260884962,0,0,0,0,0,0,0
0.0005,0.0005,NEMO_IKKa_IKKb,0.452122897795,0.134491837931,0.297467433273,7.32821093869,2.19087414683,0,0,0,0,0,0,0
0.0005,0.0005,IkBa_release_signal,0.357651170106,0.16983896337,0.474873221635,5.18924024109,2.47465921441,0,0,0,0,0,0,0
0.0005,0.0005,p50_p65,0.27956941252,0.129648212679,0.463742479946,3.61938685899,1.88710299303,0,0,0,0,0,0,0
0.0005,0.0005,TNFa,0.493730438036,0.239338136232,0.484754671363,4.76365569508,2.79833290772,0,0,0,0,0,0,0
0.0005,0.0005,p100,0.270590020593,0.164145107814,0.606619222153,3.07057366576,2.02777420222,0,0,0,0,0,0,0
0.0005,0.0005,Phenotype_canonical,0.571654355862,0.260584327438,0.455842459286,5.3097581386,2.95301849603,0,0,0,0,0,0,0
0.0005,0.0005,NIK,0.441033199449,0.183134324972,0.415239318039,7.52411483684,3.02768854878,0,0,0,0,0,0,0
0.0005,0.0005,IKKa_noncanonical,0.297393716883,0.171855084177,0.577870595177,4.57418622642,2.68044218795,0,0,0,0,0,0,0
0.0005,0.0005,p100_RelB,0.37914780453,0.132213664956,0.348712727269,4.82744957056,1.95592766911,0,0,0,0,0,0,0
0.0005,0.0005,p52,0.301098713373,0.15904147422,0.528203765598,3.44064757327,1.98319273796,0,0,0,0,0,0,0
0.0005,0.0005,BAFF,0.576465049945,0.195030302173,0.338321121448,5.68251934271,2.64537374204,0,0,0,0,0,0,0
0.0005,0.0005,Phenotype_noncanonical,0.567887308171,0.250485915612,0.441083841824,4.84593977346,2.70473850647,0,0,0,0,0,0,0
