dt,finest_dt,node,final_mean,final_sd,final_cv,auc_mean,auc_sd,final_mean_abs_difference_vs_finest,final_mean_relative_difference_vs_finest,final_pathwise_rmse_vs_finest,auc_mean_abs_difference_vs_finest,auc_mean_relative_difference_vs_finest,auc_pathwise_rmse_vs_finest,final_cv_abs_difference_vs_finest
0.0005,0.0005,TRAF6,0.594936788691,0.137890906027,0.231774044988,11.1484662606,2.49328314431,0,0,0,0,0,0,0
0.0005,0.0005,TRAF2_3,0.656207045297,0.0913282300878,0.139175936531,12.3415068999,1.69008054787,0,0,0,0,0,0,0
0.0005,0.0005,Btx,0.400532035008,0.19908078059,0.497040843652,6.79656677057,3.37919492389,0,0,0,0,0,0,0
0.0005,0.0005,TAK1_TAB,0.497074419193,0.118047963831,0.237485493666,8.66829227333,1.99260884962,0,0,0,0,0,0,0
0.0005,0.0005,NEMO_IKKa_IKKb,0.389723406519,0.0975861405641,0.250398459348,6.43987936119,1.7296719058,0,0,0,0,0,0,0
0.0005,0.0005,IkBa_release_signal,0.248655250322,0.104424812802,0.419958205857,3.80718002033,1.70621111834,0,0,0,0,0,0,0
0.0005,0.0005,p50_p65,0.152435880879,0.085249542839,0.55924853353,2.14841913984,1.29692449407,0,0,0,0,0,0,0
0.0005,0.0005,TNFa,0.370604614604,0.225462520389,0.608364039477,3.56153260566,2.47894927394,0,0,0,0,0,0,0
0.0005,0.0005,p100,0.187293908187,0.142638554257,0.761576047171,2.19591895217,1.73681986022,0,0,0,0,0,0,0
0.0005,0.0005,Phenotype_canonical,0.435057154793,0.247916932509,0.569849110117,3.98754703525,2.64500985345,0,0,0,0,0,0,0
0.0005,0.0005,NIK,0.441033199449,0.183134324972,0.415239318039,7.52411483684,3.02768854878,0,0,0,0,0,0,0
0.0005,0.0005,IKKa_noncanonical,0.297393716883,0.171855084177,0.577870595177,4.57418622642,2.68044218795,0,0,0,0,0,0,0
0.0005,0.0005,p100_RelB,0.349731295634,0.13125469542,0.375301544523,4.53034576493,1.95728146421,0,0,0,0,0,0,0
0.0005,0.0005,p52,0.287136688163,0.158356800754,0.551503194407,3.30790789655,1.97999429874,0,0,0,0,0,0,0
0.0005,0.0005,BAFF,0.557041825305,0.198499205275,0.356345244213,5.49565755119,2.65204460145,0,0,0,0,0,0,0
0.0005,0.0005,Phenotype_noncanonical,0.554746151534,0.250305615896,0.451207485089,4.72914571096,2.69489462566,0,0,0,0,0,0,0
